Measurement	S	M	L	XL	XXL
Waist	27 - 30.5	31 - 34.5	35 - 38.5	39 - 42.5	43 - 46.5
Hip	   35	39	43	47	49
Inseam	32	32	32	32	32
Long Inseam	34	34	34	34	34
